epoch,accuracy,loss,val_accuracy,val_loss
0,0.5897436141967773,8.713444709777832,0.4285714328289032,15.776347160339355
1,0.6820513010025024,3.5044353008270264,0.7142857313156128,2.964573621749878
2,0.7589743733406067,1.5063207149505615,0.8095238208770752,1.323712706565857
3,0.8974359035491943,0.3560982346534729,0.7142857313156128,1.1190996170043945
4,0.928205132484436,0.1476457417011261,0.761904776096344,1.7994273900985718
5,0.9743589758872986,0.062357477843761444,0.8095238208770752,0.9684255719184875
6,0.9897435903549194,0.02813403494656086,0.8095238208770752,0.8468292951583862
7,1.0,0.011801177635788918,0.9047619104385376,0.5038547515869141
8,1.0,0.00938936322927475,0.8571428656578064,0.709752082824707
9,1.0,0.006162986159324646,0.8095238208770752,0.8316628336906433
10,1.0,0.004838148597627878,0.8571428656578064,0.6316357851028442
11,1.0,0.0022925285156816244,0.8095238208770752,0.7343470454216003
12,1.0,0.0022304572630673647,0.9047619104385376,0.6668282747268677
